idx,kind,claim_id,vid,sim_to_orig,p_entail_fwd,p_contra_fwd,p_entail_bwd,p_contra_bwd
0,contradict,0,1,0.9664019547953574,0.00015135728,0.99905485,,
0,delete,0,2,0.9615141955835962,0.9893588,0.0051362067,,
0,contradict,1,3,0.9732034104750305,0.00019823803,0.9993488,,
0,delete,1,4,0.9522597071928708,0.9751149,0.013376411,,
0,contradict,2,5,0.9763779527559056,0.00069685146,0.9986407,,
0,delete,2,6,0.9562460367786937,0.9860162,0.0051994645,,
0,contradict,3,7,0.9786194257788637,0.00028670975,0.9992101,,
0,delete,3,8,0.9366925064599483,0.9847749,0.0065708775,,
0,paraphrase,-1,9,0.969770253929867,0.994599,0.0005764969,0.9957265853881836,0.0008332139695994556
0,translate,-1,10,0.7316219369894983,0.9984438,0.00030082575,0.9981162548065186,0.00029261549934744835
0,polarity,-1,11,0.9773539928486293,0.0005077672,0.9984981,,
0,vocab,-1,12,0.970392749244713,0.0003273537,0.9989687,,
0,cat,-1,13,0.9853658536585366,0.0041832137,0.9940454,,
1,contradict,0,17,0.9597024178549287,0.004651951,0.99283856,,
1,delete,0,18,0.9598965071151359,0.8751212,0.09718423,,
1,contradict,1,19,0.9583592293349906,0.1107483,0.87767315,,
1,delete,1,20,0.9551656920077972,0.8025334,0.16185966,,
1,contradict,2,21,0.965560425798372,0.0013923135,0.97052944,,
1,delete,2,22,0.9379128137384413,0.9377609,0.03597243,,
1,contradict,3,23,0.9913151364764268,0.0006700681,0.99851054,,
1,delete,3,24,0.9725239616613418,0.952494,0.023567416,,
1,paraphrase,-1,25,0.9769182782283219,0.974812,0.006883448,0.9806404113769531,0.006128871347755194
1,translate,-1,26,0.6258338386901152,0.99705964,0.0005355365,0.9981471300125122,0.0004265985917299986
1,polarity,-1,27,0.9889162561576355,0.014541491,0.9794263,,
1,vocab,-1,28,0.9825653798256538,0.00083357934,0.99811065,,
1,cat,-1,29,0.9888059701492538,0.00056767865,0.99870205,,
2,contradict,0,33,0.9440639269406392,6.6922286e-05,0.9993498,,
2,delete,0,34,0.9242979242979243,0.9510556,0.0256185,,
2,contradict,1,35,0.9670828603859251,9.329425e-05,0.9995448,,
2,delete,1,36,0.9385542168674699,0.90721136,0.051582783,,
2,contradict,2,37,0.9710648148148148,0.0020499595,0.99173963,,
2,delete,2,38,0.89875,0.94723403,0.022671856,,
2,contradict,3,39,0.9647727272727272,0.0007344801,0.99849725,,
2,delete,3,40,0.9223241590214067,0.9551778,0.022093775,,
2,paraphrase,-1,41,0.9790842283776144,0.97487134,0.009585344,0.9797242879867554,0.007096039596945047
2,translate,-1,42,0.6637362637362637,0.997414,0.0007251356,0.9981580376625061,0.00039454351644963026
2,polarity,-1,43,0.9821029082774049,0.0011406472,0.9972818,,
2,vocab,-1,44,0.9801699716713881,0.0006895758,0.997912,,
2,cat,4,45,0.9886234357224118,0.008181301,0.987148,,
3,contradict,0,49,0.930111038536904,9.872401e-05,0.9994741,,
3,delete,0,50,0.925642807505212,0.8619318,0.11124008,,
3,contradict,1,51,0.9537459283387623,0.00012312518,0.99964416,,
3,delete,1,52,0.9403701165181632,0.8491233,0.100722425,,
3,contradict,2,53,0.9419439008480104,0.00054138736,0.9981573,,
3,delete,2,54,0.9150877192982456,0.86019284,0.108748876,,
3,contradict,3,55,0.9793548387096774,0.1524249,0.81033564,,
3,delete,3,56,0.9693333333333334,0.81808305,0.054328553,,
3,paraphrase,-1,57,0.9765319426336375,0.985344,0.0033843527,0.9754002690315247,0.0065593714825809
3,translate,-1,58,0.5599513085818625,0.9975866,0.00044769398,0.9983807802200317,0.000350307731423527
3,polarity,-1,59,0.9783989834815756,0.0010188853,0.99767536,,
3,vocab,-1,60,0.971986970684039,0.0006571057,0.9985073,,
3,cat,3,61,0.9824333116460637,0.0005332363,0.99861133,,
4,contradict,0,65,0.9326864766525167,7.539114e-05,0.99936694,,
4,delete,0,66,0.9248704663212435,0.8545255,0.08949643,,
4,contradict,1,67,0.9680915111378687,6.9576316e-05,0.9972301,,
4,delete,1,68,0.9426751592356688,0.7270707,0.21195155,,
4,contradict,2,69,0.970321017565112,0.008650208,0.95032305,,
4,delete,2,70,0.9331619537275064,0.9294233,0.04283758,,
4,contradict,3,71,0.9624697336561744,0.0012397664,0.9966265,,
4,delete,3,72,0.9433481858688734,0.6080547,0.30344382,,
4,paraphrase,-1,73,0.9734299516908212,0.95759887,0.019413942,0.9309127330780029,0.036414045840501785
4,translate,-1,74,0.6401384083044983,0.9971342,0.0011720938,0.9976871013641357,0.0006894203834235668
4,polarity,-1,75,0.979253112033195,0.001310609,0.99750537,,
4,vocab,-1,76,0.9837054918527459,0.00029927696,0.9991405,,
4,cat,2,77,0.9951807228915662,0.0026087791,0.9954732,,
5,contradict,0,81,0.9483834373227453,0.00021518691,0.9993561,,
5,delete,0,82,0.9429928741092637,0.96867734,0.019352967,,
5,contradict,1,83,0.9506726457399103,0.004035247,0.99416536,,
5,delete,1,84,0.9119804400977995,0.8897275,0.08369219,,
5,contradict,2,85,0.9792017987633502,0.005388819,0.97227514,,
5,delete,2,86,0.9651162790697675,0.94726956,0.032604262,,
5,contradict,3,87,0.992152466367713,0.0011276861,0.99757177,,
5,delete,3,88,0.9504716981132075,0.9609341,0.018589433,,
5,paraphrase,-1,89,0.9707865168539326,0.99426806,0.0017820924,0.9932863116264343,0.002405076054856181
5,translate,-1,90,0.6505636070853462,0.9975834,0.0008090847,0.9984800219535828,0.000447220605565235
5,polarity,-1,91,0.973032471106219,0.0015497352,0.99712986,,
5,vocab,-1,92,0.9791783905458639,0.0004596511,0.998552,,
5,cat,5,93,0.9684813753581661,0.0014555316,0.9969175,,
