vid,idx,kind,claim_id,mse_nrm,L_h,cos,r_norm,dist_to_orig
0,0,orig,-1,0.0757437,0.17178667,0.9621283,72.08538,0.0
1,0,contradict,0,0.08416426,0.19088452,0.95791817,72.086975,0.015594589
2,0,delete,0,0.0811535,0.18405609,0.9594235,72.07204,0.012838447
3,0,contradict,1,0.077665046,0.17614429,0.96116775,72.08539,0.0014569177
4,0,delete,1,0.077680424,0.17617917,0.9611602,72.08822,0.0063608172
5,0,contradict,2,0.079266086,0.17977545,0.9603671,72.06001,0.0074619735
6,0,delete,2,0.07586881,0.17207043,0.96206594,72.07703,0.0013100636
7,0,contradict,3,0.081807025,0.18553829,0.9590966,72.07986,0.006831439
8,0,delete,3,0.07752715,0.17583154,0.96123683,72.07482,0.00522076
9,0,paraphrase,-1,0.07725146,0.17520627,0.96137446,72.075516,0.0010473201
10,0,translate,-1,0.080512315,0.1826019,0.95974404,72.07901,0.009160566
11,0,polarity,-1,0.078609884,0.17828718,0.9606953,72.08645,0.0021431525
12,0,vocab,-1,0.079708576,0.18077901,0.9601459,72.0737,0.0023391335
13,0,cat,-1,0.40770635,0.92467785,0.79614705,72.004974,0.723988
14,0,shuffle,-1,0.07320237,0.16602294,0.96339893,72.08567,0.0093518365
15,0,unrelated,32,0.90471774,2.0518994,0.5476414,71.94582,1.9128205
16,1,orig,-1,0.08911333,0.202109,0.95544374,71.91234,0.0
17,1,contradict,0,0.10238679,0.23221318,0.9488069,71.90836,0.014150015
18,1,delete,0,0.096653745,0.21921065,0.9516734,71.90982,0.0070118923
19,1,contradict,1,0.10861249,0.24633309,0.94569415,71.911385,0.029406475
20,1,delete,1,0.1062752,0.24103211,0.9468628,71.90452,0.026976991
21,1,contradict,2,0.095965445,0.2176496,0.95201784,71.90671,0.011388732
22,1,delete,2,0.092187345,0.20908086,0.9539066,71.906494,0.0060020257
23,1,contradict,3,0.08908554,0.20204596,0.95545757,71.89775,0.0028267428
24,1,delete,3,0.090272084,0.20473705,0.95486414,71.90815,0.0019080085
25,1,paraphrase,-1,0.08880478,0.2014092,0.955598,71.91189,0.00026634507
26,1,translate,-1,0.09268083,0.21020007,0.9536598,71.912445,0.006206472
27,1,polarity,-1,0.08935966,0.20266768,0.9553205,71.912796,0.00061042747
28,1,vocab,-1,0.08934678,0.20263846,0.95532674,71.91753,0.0007055641
29,1,cat,-1,0.5146885,1.1673132,0.7426563,71.97215,1.030448
30,1,shuffle,-1,0.11067629,0.2510138,0.9446622,71.86558,0.033023108
31,1,unrelated,90,0.81696147,1.8528682,0.5915197,72.073296,1.698838
32,2,orig,-1,0.09113379,0.20669138,0.9544335,72.0041,0.0
33,2,contradict,0,0.120369956,0.27299902,0.93981516,71.98646,0.088338986
34,2,delete,0,0.10307796,0.23378077,0.9484615,72.00546,0.046246573
35,2,contradict,1,0.09412016,0.21346448,0.9529402,72.01137,0.014819844
36,2,delete,1,0.088557884,0.20084924,0.9557211,72.030235,0.008399663
37,2,contradict,2,0.15242743,0.34570536,0.92378646,72.08423,0.1326033
38,2,delete,2,0.11014088,0.24979948,0.94492984,71.986244,0.038092203
39,2,contradict,3,0.09603774,0.21781355,0.9519814,72.01978,0.0068453224
40,2,delete,3,0.091688156,0.2079487,0.95415616,71.9977,0.0043211277
41,2,paraphrase,-1,0.090868145,0.20608892,0.9545661,72.00075,0.0004543447
42,2,translate,-1,0.09781072,0.22183467,0.951095,71.98523,0.010899959
43,2,polarity,-1,0.09054358,0.20535281,0.9547288,72.011086,0.0016613752
44,2,vocab,-1,0.09522092,0.21596101,0.95238996,72.01433,0.0036771267
45,2,cat,4,0.4036902,0.9155692,0.7981551,71.852135,0.7111754
46,2,shuffle,-1,0.090898596,0.20615797,0.95455086,72.02547,0.015996065
47,2,unrelated,188,0.962139,2.1821308,0.51893085,72.128876,2.1075773
48,3,orig,-1,0.124248385,0.2817953,0.93787634,72.01381,0.0
49,3,contradict,0,0.13425037,0.30447978,0.9328752,72.02082,0.0394805
50,3,delete,0,0.12810513,0.2905424,0.93594795,72.03007,0.007291389
51,3,contradict,1,0.12135645,0.27523637,0.93932235,72.005974,0.0056396853
52,3,delete,1,0.124170996,0.28161976,0.9379149,72.018074,0.0052720467
53,3,contradict,2,0.14664309,0.33258647,0.92667884,72.011314,0.026315885
54,3,delete,2,0.12973186,0.2942318,0.93513453,72.02278,0.008885136
55,3,contradict,3,0.111142054,0.25207013,0.94442946,71.987915,0.0112155685
56,3,delete,3,0.12040301,0.27307397,0.9397992,72.00267,0.0042937733
57,3,paraphrase,-1,0.12718494,0.2884554,0.93640774,72.01613,0.00062307605
58,3,translate,-1,0.11527421,0.26144186,0.94236344,72.05435,0.022587681
59,3,polarity,-1,0.11718769,0.26578164,0.9414065,72.019165,0.0035874106
60,3,vocab,-1,0.12275735,0.27841362,0.9386218,72.020096,0.0021505556
61,3,cat,3,0.4540941,1.0298853,0.77295315,71.95811,0.8851625
62,3,shuffle,-1,0.11418985,0.25898254,0.9429056,71.99539,0.016835475
63,3,unrelated,254,0.8421501,1.909996,0.5789253,71.91779,1.9179415
64,4,orig,-1,0.10136931,0.22990555,0.9493157,71.954796,0.0
65,4,contradict,0,0.10066138,0.22829998,0.9496696,71.973656,0.054754276
66,4,delete,0,0.095637575,0.21690598,0.95218146,71.954735,0.015300101
67,4,contradict,1,0.09810791,0.2225087,0.95094657,71.95399,0.005177509
68,4,delete,1,0.09402901,0.21325774,0.95298576,71.9576,0.013744338
69,4,contradict,2,0.12717387,0.28843027,0.93641347,71.925735,0.075182214
70,4,delete,2,0.115194574,0.26126125,0.94240314,71.92968,0.02358437
71,4,contradict,3,0.12224917,0.27726108,0.9388757,71.9489,0.04684068
72,4,delete,3,0.09624166,0.21827604,0.9518796,71.97449,0.006739737
73,4,paraphrase,-1,0.10010239,0.22703217,0.9499494,71.956726,0.00043300798
74,4,translate,-1,0.099894255,0.22656013,0.9500532,71.942566,0.009222538
75,4,polarity,-1,0.1004956,0.22792397,0.94975257,71.95076,0.0013129902
76,4,vocab,-1,0.09927496,0.22515558,0.9503628,71.95253,0.0021698638
77,4,cat,2,0.22312383,0.50604475,0.8884383,71.94781,0.33472627
78,4,shuffle,-1,0.10182397,0.23093672,0.9490885,71.915504,0.030267097
79,4,unrelated,81,0.9442803,2.1416273,0.52786005,71.91441,2.1600635
80,5,orig,-1,0.162973,0.3696227,0.9185137,71.88117,0.0
81,5,contradict,0,0.17635736,0.3999784,0.91182154,71.8722,0.038981132
82,5,delete,0,0.16076668,0.36461875,0.919617,71.88737,0.0065040947
83,5,contradict,1,0.16441181,0.3728859,0.9177942,71.87653,0.0025284432
84,5,delete,1,0.16632769,0.37723112,0.9168364,71.86351,0.004646777
85,5,contradict,2,0.16182211,0.36701247,0.91908914,71.853485,0.006164265
86,5,delete,2,0.1610449,0.36524975,0.9194776,71.87715,0.0027159953
87,5,contradict,3,0.16503352,0.37429595,0.91748345,71.87721,0.002111639
88,5,delete,3,0.18173318,0.41217077,0.9091336,71.931404,0.034993947
89,5,paraphrase,-1,0.16160099,0.366511,0.9191997,71.87725,0.0006069684
90,5,translate,-1,0.16425452,0.37252918,0.9178729,71.87313,0.015286616
91,5,polarity,-1,0.16299357,0.36966935,0.91850346,71.88262,0.0033143812
92,5,vocab,-1,0.16704617,0.37886065,0.9164771,71.873886,0.0041488567
93,5,cat,5,0.44136995,1.0010269,0.77931523,71.7313,0.79944575
94,5,shuffle,-1,0.16359231,0.3710273,0.9182039,71.88982,0.0027151927
95,5,unrelated,55,0.86478364,1.9613289,0.56760854,71.98773,1.8352954
96,6,orig,-1,0.038140606,0.08650288,0.98092985,71.92613,0.0
97,6,contradict,0,0.067421645,0.15291226,0.96628964,71.97565,0.05948033
98,6,delete,0,0.047891058,0.108616896,0.97605467,71.91539,0.018394355
99,6,contradict,1,0.047225587,0.10710761,0.97638756,71.97107,0.012015281
100,6,delete,1,0.04422587,0.10030425,0.9778874,71.95995,0.0063319793
101,6,contradict,2,0.0527542,0.119646505,0.9736233,71.8841,0.0302498
102,6,delete,2,0.040800225,0.09253489,0.97960013,71.87993,0.009762687
103,6,contradict,3,0.039641704,0.08990737,0.9801794,71.92513,0.001437681
104,6,delete,3,0.03841927,0.08713488,0.98079073,71.93761,0.0016000299
105,6,paraphrase,-1,0.037557393,0.08518015,0.98122156,71.92133,0.0003688035
106,6,translate,-1,0.039448567,0.08946933,0.980276,71.91384,0.004564848
107,6,polarity,-1,0.040168647,0.09110247,0.9799159,71.930626,0.0024651228
108,6,vocab,-1,0.041896,0.09502011,0.97905236,71.938614,0.0028453695
109,6,cat,4,0.41446432,0.9400049,0.792768,71.83863,0.9047911
110,6,shuffle,-1,0.038737733,0.087857164,0.9806314,71.902725,0.0018940966
111,6,unrelated,17,0.91863,2.0834525,0.5406853,71.976746,2.0900462
112,7,orig,-1,0.120154634,0.27251065,0.93992305,71.77696,0.0
113,7,contradict,0,0.124387816,0.2821115,0.93780655,71.806404,0.031035312
114,7,delete,0,0.12264757,0.27816463,0.9386766,71.803406,0.020246828
115,7,contradict,1,0.12592047,0.28558758,0.9370402,71.79369,0.0050230618
116,7,delete,1,0.12410422,0.2814683,0.9379481,71.786095,0.003655213
117,7,contradict,2,0.21524271,0.4881704,0.89237905,71.66191,0.1417063
118,7,delete,2,0.16791481,0.3808307,0.9160428,71.69789,0.04370609
119,7,contradict,3,0.13085103,0.29677007,0.93457484,71.76474,0.0052660024
120,7,delete,3,0.12926802,0.2931798,0.9353663,71.76953,0.01396391
121,7,paraphrase,-1,0.12907222,0.29273573,0.9354641,71.75626,0.0022671137
122,7,translate,-1,0.13796072,0.31289485,0.9310199,71.73214,0.01288602
123,7,polarity,-1,0.13032669,0.29558086,0.9348372,71.77019,0.005094665
124,7,vocab,-1,0.12116275,0.27479705,0.93941903,71.78094,0.0034162165
125,7,cat,3,0.27818516,0.6309238,0.860908,71.657585,0.34941787
126,7,shuffle,-1,0.15961942,0.36201677,0.9201904,71.74667,0.055845734
127,7,unrelated,216,0.7974326,1.8085768,0.60128385,71.79958,1.6224997
128,8,orig,-1,0.14338093,0.32518786,0.9283099,71.897255,0.0
129,8,contradict,0,0.14332828,0.32506847,0.92833644,71.88021,0.026817922
130,8,delete,0,0.14402208,0.326642,0.92798936,71.89305,0.010817176
131,8,contradict,1,0.14646181,0.33217534,0.9267697,71.887825,0.0039449097
132,8,delete,1,0.14331788,0.32504487,0.9283416,71.88048,0.025814634
133,8,contradict,2,0.14580666,0.33068943,0.92709696,71.918816,0.0074618254
134,8,delete,2,0.14545758,0.32989773,0.92727196,71.92376,0.0048843445
135,8,contradict,3,0.14320572,0.3247905,0.9283976,71.89757,0.0002527351
136,8,delete,3,0.14496109,0.32877168,0.9275199,71.890625,0.0034743927
137,8,paraphrase,-1,0.14327672,0.32495153,0.92836213,71.90286,0.0007834503
138,8,translate,-1,0.20332515,0.46114135,0.8983379,71.84236,0.08882634
139,8,polarity,-1,0.14807114,0.3358253,0.92596483,71.895966,0.006495297
140,8,vocab,-1,0.14660469,0.33249936,0.9266982,71.88002,0.006137294
141,8,cat,4,0.4453532,1.0100609,0.77732396,71.71897,0.6892325
142,8,shuffle,-1,0.14391586,0.3264011,0.92804265,71.92741,0.01946471
143,8,unrelated,205,0.8632657,1.9578862,0.5683677,72.06229,1.6482829
144,9,orig,-1,0.07577225,0.17185143,0.96211404,71.73064,0.0
145,9,contradict,0,0.10108589,0.22926274,0.94945705,71.719765,0.037940633
146,9,delete,0,0.08415865,0.19087179,0.95792085,71.704575,0.0065205917
147,9,contradict,1,0.069947556,0.15864103,0.9650265,71.71859,0.011337087
148,9,delete,1,0.06763042,0.15338576,0.96618503,71.74218,0.0060732425
149,9,contradict,2,0.20522745,0.46545577,0.8973863,71.48998,0.2517409
150,9,delete,2,0.23024502,0.52219564,0.8848776,71.564995,0.2911449
151,9,contradict,3,0.07859615,0.17825603,0.9607022,71.72748,0.026696071
152,9,delete,3,0.074707486,0.16943654,0.9626466,71.74447,0.013464853
153,9,paraphrase,-1,0.0755327,0.17130813,0.9622339,71.73007,0.00037308768
154,9,translate,-1,0.090077765,0.20429634,0.9549613,71.73475,0.024420995
155,9,polarity,-1,0.081857674,0.18565316,0.95907116,71.68915,0.011863306
156,9,vocab,-1,0.07765435,0.17612003,0.9611731,71.70257,0.016488077
157,9,cat,-1,0.22549549,0.51142365,0.8872523,71.610054,0.29489297
158,9,shuffle,-1,0.08225059,0.1865443,0.9588747,71.7214,0.025009783
159,9,unrelated,68,0.68489283,1.5533366,0.6575535,71.98121,1.5282401
160,10,orig,-1,0.21642399,0.4908495,0.8917883,71.75019,0.0
161,10,contradict,0,0.22208793,0.5036953,0.88895637,71.72236,0.032753557
162,10,delete,0,0.2194303,0.49766782,0.8902854,71.76464,0.008290599
163,10,contradict,1,0.22638288,0.51343626,0.8868089,71.74966,0.010870083
164,10,delete,1,0.21956646,0.49797663,0.89021724,71.72772,0.016782587
165,10,contradict,2,0.2426053,0.5502287,0.8786977,71.630455,0.15610512
166,10,delete,2,0.25929904,0.5880901,0.87035084,71.75322,0.07937038
167,10,contradict,3,0.35376722,0.8023439,0.8231167,71.72365,0.34846953
168,10,delete,3,0.42867112,0.9722259,0.7856647,71.65279,0.6011079
169,10,paraphrase,-1,0.21600528,0.48989987,0.89199775,71.74611,0.0027086276
170,10,translate,-1,0.23373134,0.5301026,0.8831347,71.78218,0.034136787
171,10,polarity,-1,0.22016625,0.49933696,0.8899174,71.73556,0.007465288
172,10,vocab,-1,0.21972995,0.49834743,0.89013547,71.73106,0.004164012
173,10,cat,2,0.3521701,0.7987217,0.82391524,71.620056,0.24471861
174,10,shuffle,-1,0.21981482,0.49853992,0.8900931,71.72924,0.0072390256
175,10,unrelated,26,0.81284094,1.8435229,0.5935803,71.79431,1.3831388
176,11,orig,-1,0.06914449,0.15681967,0.96542823,72.16564,0.0
177,11,contradict,0,0.0769199,0.1744543,0.9615405,72.141235,0.021410711
178,11,delete,0,0.071699485,0.1626144,0.9641508,72.15732,0.0046644253
179,11,contradict,1,0.06746958,0.15302098,0.9662656,72.17104,0.0029506467
