vid,idx,kind,claim_id,mse_nrm,L_h,cos,r_norm,dist_to_orig,dL_h,L_o,dL_o,sim_to_orig,lex,dist
9,0,paraphrase,-1,0.07725146,0.17520627,0.96137446,72.075516,0.0010473201,0.0034196079,0.03377293050289154,0.004217110574245453,0.969770253929867,0.030229746070132957,0.0010473201
10,0,translate,-1,0.080512315,0.1826019,0.95974404,72.07901,0.009160566,0.010815233,0.042456578463315964,0.012900758534669876,0.7316219369894983,0.2683780630105017,0.009160566
11,0,polarity,-1,0.078609884,0.17828718,0.9606953,72.08645,0.0021431525,0.0065005124,0.03645995259284973,0.006904132664203644,0.9773539928486293,0.022646007151370662,0.0021431525
12,0,vocab,-1,0.079708576,0.18077901,0.9601459,72.0737,0.0023391335,0.008992344,0.028280207887291908,-0.0012756120413541794,0.970392749244713,0.02960725075528703,0.0023391335
13,0,cat,-1,0.40770635,0.92467785,0.79614705,72.004974,0.723988,0.7528912,5.973324298858643,5.9437684789299965,0.9853658536585366,0.014634146341463428,0.723988
14,0,shuffle,-1,0.07320237,0.16602294,0.96339893,72.08567,0.0093518365,-0.0057637244,0.019226880744099617,-0.01032893918454647,0.6877278250303767,0.31227217496962334,0.0093518365
15,0,unrelated,32,0.90471774,2.0518994,0.5476414,71.94582,1.9128205,1.8801128,9.510622024536133,9.481066204607487,0.2007042253521127,0.7992957746478873,1.9128205
25,1,paraphrase,-1,0.08880478,0.2014092,0.955598,71.91189,0.00026634507,-0.00069978833,0.07859000563621521,-0.0011705905199050903,0.9769182782283219,0.02308172177167811,0.00026634507
26,1,translate,-1,0.09268083,0.21020007,0.9536598,71.912445,0.006206472,0.008091077,0.07826488465070724,-0.0014957115054130554,0.6258338386901152,0.3741661613098848,0.006206472
27,1,polarity,-1,0.08935966,0.20266768,0.9553205,71.912796,0.00061042747,0.00055868924,0.0862003043293953,0.006439708173274994,0.9889162561576355,0.011083743842364546,0.00061042747
28,1,vocab,-1,0.08934678,0.20263846,0.95532674,71.91753,0.0007055641,0.00052946806,0.07963619381189346,-0.00012440234422683716,0.9825653798256538,0.01743462017434616,0.0007055641
29,1,cat,-1,0.5146885,1.1673132,0.7426563,71.97215,1.030448,0.96520424,5.8438262939453125,5.764065697789192,0.9888059701492538,0.011194029850746245,1.030448
