idx,kind,claim_id,vid,p_entail_fwd,p_contra_fwd,p_entail_bwd,p_contra_bwd
0,paraphrase,-1,1,0.99812883,0.00022789204,0.9981645941734314,0.00035505302366800606
0,translate,-1,2,0.9984438,0.00030082575,0.9981162548065186,0.00029261549934744835
0,polarity,-1,3,0.00057315995,0.998546,,
0,vocab,-1,4,0.0005950429,0.9989048,,
0,cat,-1,5,0.0041832137,0.9940454,,
0,shuffle,-1,6,0.9866371,0.0069194855,0.9853772521018982,0.00657489662989974
0,unrelated,32,7,0.94771016,0.013192318,,
0,unrelated_token,32,8,0.9496984,0.009401884,,
1,paraphrase,-1,10,0.9980107,0.00037642044,0.9981516003608704,0.0003447975032031536
1,translate,-1,11,0.99705964,0.0005355365,0.9981471300125122,0.0004265985917299986
1,polarity,-1,12,0.00092073245,0.99794227,,
1,vocab,-1,13,0.0017179543,0.99763954,,
1,cat,-1,14,0.00056767865,0.99870205,,
1,shuffle,-1,15,0.9540587,0.029811818,0.9332850575447083,0.04717421531677246
1,unrelated,90,16,0.21926716,0.59997183,,
1,unrelated_token,90,17,0.42988116,0.25209787,,
2,paraphrase,-1,19,0.9982901,0.00031093395,0.9982163310050964,0.00041189006878994405
2,translate,-1,20,0.9974126,0.0007265523,0.9981580376625061,0.00039454351644963026
2,polarity,-1,21,0.00069931295,0.99826115,,
2,vocab,-1,22,0.009980795,0.98771024,,
2,cat,-1,23,0.008173381,0.9871559,,
2,shuffle,-1,24,0.97514266,0.01117673,0.958418607711792,0.019260533154010773
2,unrelated,188,25,0.78566045,0.051316332,,
2,unrelated_token,188,26,0.7214764,0.061221763,,
3,paraphrase,-1,28,0.99848026,0.00025681723,0.9983850717544556,0.0002455124049447477
3,translate,-1,29,0.99758756,0.00044682086,0.9983807802200317,0.000350307731423527
3,polarity,-1,30,0.00050680933,0.99856275,,
3,vocab,-1,31,0.008605815,0.9879204,,
3,cat,-1,32,0.0005342782,0.99861026,,
3,shuffle,-1,33,0.9393494,0.04235415,0.9246494174003601,0.052292659878730774
3,unrelated,254,34,0.95248026,0.010225552,,
3,unrelated_token,254,35,0.9512313,0.009621568,,
4,paraphrase,-1,37,0.99836844,0.00030434883,0.9986352324485779,0.00028542763902805746
4,translate,-1,38,0.99713254,0.0011720918,0.9976871013641357,0.0006894203834235668
4,polarity,-1,39,0.00088590384,0.9984428,,
4,vocab,-1,40,0.008198492,0.9901888,,
4,cat,-1,41,0.0036063704,0.99216497,,
4,shuffle,-1,42,0.97218984,0.014224157,0.9412276744842529,0.03834030032157898
4,unrelated,81,43,0.9681446,0.024690934,,
4,unrelated_token,81,44,0.9832708,0.012281231,,
5,paraphrase,-1,46,0.9986985,0.00033112286,0.9985106587409973,0.00030979016446508467
5,translate,-1,47,0.9975834,0.0008090847,0.9984800219535828,0.000447220605565235
5,polarity,-1,48,0.002030425,0.9967841,,
5,vocab,-1,49,0.0025991113,0.99663866,,
5,cat,-1,50,0.0014555316,0.9969175,,
5,shuffle,-1,51,0.9678375,0.01798814,0.9714227914810181,0.016168400645256042
5,unrelated,55,52,0.9528751,0.021154795,,
5,unrelated_token,55,53,0.9152754,0.033963274,,
6,paraphrase,-1,55,0.9981495,0.0003096781,0.998665452003479,0.00023070230963639915
6,translate,-1,56,0.9977926,0.00064142444,0.9987552165985107,0.0003032797249034047
6,polarity,-1,57,0.00027680155,0.9991968,,
6,vocab,-1,58,0.00018954251,0.9994154,,
6,cat,-1,59,0.0008617059,0.99809283,,
6,shuffle,-1,60,0.97288406,0.013074903,0.966254472732544,0.015360905788838863
6,unrelated,17,61,0.96425736,0.02570914,,
6,unrelated_token,17,62,0.95255315,0.036149442,,
7,paraphrase,-1,64,0.99834025,0.00049981603,0.9982602000236511,0.0003692320897243917
7,translate,-1,65,0.99720484,0.00075386366,0.9955331087112427,0.0009458171552978456
7,polarity,-1,66,0.00058341346,0.99869895,,
7,vocab,-1,67,0.015371992,0.9821792,,
7,cat,-1,68,0.00070497347,0.99851006,,
7,shuffle,-1,69,0.9644241,0.02224239,0.9631220102310181,0.022452253848314285
7,unrelated,216,70,0.93202066,0.0160363,,
7,unrelated_token,216,71,0.93581206,0.016677672,,
8,paraphrase,-1,73,0.9967403,0.0010793568,0.9974451065063477,0.0007948764832690358
8,translate,-1,74,0.9977963,0.0005738493,0.9983130693435669,0.0003585906815715134
8,polarity,-1,75,0.000991246,0.9975178,,
8,vocab,-1,76,0.1767411,0.78934765,,
8,cat,-1,77,0.0013627622,0.9974648,,
8,shuffle,-1,78,0.9675839,0.020377893,0.9411031007766724,0.03777776286005974
8,unrelated,205,79,0.68780065,0.045144398,,
8,unrelated_token,205,80,0.66792095,0.053035777,,
9,paraphrase,-1,82,0.9972805,0.00028337518,0.9971792697906494,0.0003464859037194401
9,translate,-1,83,0.9969162,0.0005688814,0.9977824091911316,0.0004638041427824646
9,polarity,-1,84,0.019336542,0.973543,,
9,vocab,-1,85,0.607946,0.3528845,,
9,cat,-1,86,0.031834923,0.953346,,
9,shuffle,-1,87,0.97236663,0.017194279,0.9765224456787109,0.013686631806194782
9,unrelated,68,88,0.3593514,0.3181346,,
9,unrelated_token,68,89,0.4730188,0.23404698,,
10,paraphrase,-1,91,0.9951592,0.00071786606,0.9975243210792542,0.0006720263045281172
10,translate,-1,92,0.9938625,0.0019223569,0.9980548620223999,0.0008516343659721315
10,polarity,-1,93,0.0005686982,0.9985435,,
10,vocab,-1,94,0.89447856,0.07781595,,
10,cat,-1,95,0.00077573134,0.99845314,,
10,shuffle,-1,96,0.97476906,0.015196539,0.974587619304657,0.015448054298758507
10,unrelated,26,97,0.64162475,0.15128712,,
10,unrelated_token,26,98,0.56266254,0.1795745,,
11,paraphrase,-1,100,0.9978911,0.0007588157,0.9981918931007385,0.0004900758503936231
11,translate,-1,101,0.9977126,0.0005943327,0.9984613656997681,0.00041766255162656307
11,polarity,-1,102,0.0016794039,0.9974057,,
11,vocab,-1,103,0.009640637,0.98818505,,
11,cat,-1,104,0.0003782639,0.99898833,,
11,shuffle,-1,105,0.9781397,0.012205216,0.9816174507141113,0.00999702513217926
11,unrelated,67,106,0.32600904,0.65120184,,
11,unrelated_token,67,107,0.95423746,0.026416756,,
12,paraphrase,-1,109,0.998207,0.0002966705,0.9981796741485596,0.00024450491764582694
12,translate,-1,110,0.99691844,0.0006296957,0.9981661438941956,0.0004241143469698727
12,polarity,-1,111,0.00054154644,0.99845064,,
12,vocab,-1,112,0.0020410735,0.997131,,
12,cat,-1,113,0.0016602168,0.9956867,,
12,shuffle,-1,114,0.92426664,0.05252687,0.9084600210189819,0.06596948951482773
12,unrelated,59,115,0.4392899,0.32854137,,
12,unrelated_token,59,116,0.3844495,0.40506947,,
13,paraphrase,-1,118,0.9980738,0.00039451022,0.9984216690063477,0.0003019964788109064
