idx,kind,claim_id,vid,p_entail,p_neutral,p_contra,S_x
0,orig,-1,0,0.68447274,0.3106323,0.004895024,0.6795777
0,paraphrase,-1,1,0.46142527,0.5316161,0.00695864,0.45446664
0,translate,-1,2,0.2644319,0.7322621,0.0033060291,0.26112586
0,polarity,-1,3,0.94939923,0.044166133,0.0064345943,0.9429646
0,vocab,-1,4,0.677205,0.25320753,0.069587395,0.6076176
0,cat,-1,5,0.6217508,0.37344614,0.0048030834,0.6169477
0,shuffle,-1,6,0.99216413,0.0061586485,0.0016771167,0.99048704
0,unrelated,32,7,0.6797527,0.30579075,0.014456485,0.6652962
0,unrelated_token,32,8,0.30933806,0.6769774,0.013684594,0.29565346
1,orig,-1,9,0.9789742,0.009739148,0.011286584,0.96768767
1,paraphrase,-1,10,0.97491634,0.010164234,0.014919426,0.95999694
1,translate,-1,11,0.9654845,0.017089263,0.01742632,0.9480582
1,polarity,-1,12,0.86390126,0.05311163,0.08298709,0.7809142
1,vocab,-1,13,0.8635761,0.024521703,0.111902155,0.75167394
1,cat,-1,14,0.96315134,0.024253719,0.012594957,0.9505564
1,shuffle,-1,15,0.9416646,0.01929708,0.03903832,0.9026263
1,unrelated,90,16,0.10719928,0.82365525,0.0691455,0.03805378
1,unrelated_token,90,17,0.10359828,0.83093536,0.06546636,0.038131922
2,orig,-1,18,0.84093076,0.1361278,0.022941487,0.8179893
2,paraphrase,-1,19,0.80149704,0.18797068,0.010532335,0.7909647
2,translate,-1,20,0.32514805,0.6347467,0.04010525,0.2850428
2,polarity,-1,21,0.96785,0.029694038,0.0024559526,0.9653941
2,vocab,-1,22,0.96276486,0.02244393,0.014791135,0.9479737
2,cat,-1,23,0.8626155,0.11810221,0.019282306,0.84333324
2,shuffle,-1,24,0.9612995,0.033403706,0.0052968594,0.9560026
2,unrelated,188,25,0.94563586,0.03704419,0.017319925,0.92831594
2,unrelated_token,188,26,0.9166587,0.056824837,0.02651648,0.8901422
3,orig,-1,27,0.5184519,0.45286474,0.028683327,0.4897686
3,paraphrase,-1,28,0.7599368,0.22474661,0.01531662,0.7446202
3,translate,-1,29,0.37132955,0.615516,0.013154421,0.35817513
3,polarity,-1,30,0.9797347,0.017409367,0.0028559119,0.9768788
3,vocab,-1,31,0.8084983,0.16295823,0.028543482,0.77995485
3,cat,-1,32,0.7610943,0.21789752,0.021008212,0.7400861
3,shuffle,-1,33,0.47609732,0.4632554,0.060647316,0.41545
3,unrelated,254,34,0.98119074,0.016132835,0.002676393,0.9785144
3,unrelated_token,254,35,0.980529,0.016903916,0.0025671076,0.9779619
4,orig,-1,36,0.8825985,0.093252584,0.02414887,0.85844964
4,paraphrase,-1,37,0.6406842,0.33124843,0.028067349,0.61261684
4,translate,-1,38,0.66949296,0.26304275,0.067464314,0.60202867
4,polarity,-1,39,0.9438954,0.051681925,0.004422628,0.9394728
4,vocab,-1,40,0.9539729,0.022766354,0.023260767,0.9307121
4,cat,-1,41,0.81859946,0.12618157,0.055218935,0.7633805
4,shuffle,-1,42,0.86724323,0.10669588,0.026060916,0.8411823
4,unrelated,81,43,0.98862004,0.0029674897,0.008412414,0.9802076
4,unrelated_token,81,44,0.9927254,0.002289168,0.004985376,0.98774
5,orig,-1,45,0.002623336,0.010905328,0.98647135,-0.98384804
5,paraphrase,-1,46,0.00021176875,0.00081895903,0.9989693,-0.99875754
5,translate,-1,47,0.00043677763,0.0032210767,0.9963421,-0.99590534
5,polarity,-1,48,0.03268607,0.41284892,0.55446494,-0.5217789
5,vocab,-1,49,0.000106539,0.00040840573,0.999485,-0.9993785
5,cat,-1,50,0.00087626476,0.0037988934,0.99532485,-0.9944486
5,shuffle,-1,51,0.0031906532,0.015643718,0.98116565,-0.977975
5,unrelated,55,52,0.9833612,0.011183215,0.005455589,0.9779056
5,unrelated_token,55,53,0.97309905,0.018733071,0.008167904,0.96493113
6,orig,-1,54,0.9776748,0.0046530403,0.017672211,0.96000254
6,paraphrase,-1,55,0.8281798,0.046997275,0.12482294,0.70335686
6,translate,-1,56,0.2404901,0.047995467,0.71151435,-0.47102427
6,polarity,-1,57,0.98417944,0.00841562,0.0074050324,0.9767744
6,vocab,-1,58,0.022219265,0.0068030152,0.97097766,-0.9487584
6,cat,-1,59,0.96540904,0.006016026,0.028575003,0.93683404
6,shuffle,-1,60,0.979563,0.0054611177,0.014975904,0.9645871
6,unrelated,17,61,0.090796866,0.87161124,0.037591908,0.053204957
6,unrelated_token,17,62,0.14089014,0.79527926,0.06383058,0.07705956
7,orig,-1,63,0.50685436,0.051275246,0.44187042,0.064983934
